time,latitude,longitude,depth,mag
2016-02-23T09:50:56.000Z,-30.662,-71.444,48.7,4
2016-02-22T21:53:52.560Z,-31.6733,-72.0838,6.2,4.1
2016-02-22T18:46:57.010Z,-30.3723,-72.0594,16.6,3.7
2016-02-22T09:39:10.000Z,-30.635,-71.585,29.1,4
2016-02-22T07:01:15.630Z,-30.4622,-72.2211,10,4.5
2016-02-22T06:36:59.400Z,-30.4242,-72.2967,12,6
2016-02-20T05:19:43.420Z,-30.7255,-71.6378,35.52,4.3
2016-02-19T09:26:09.540Z,-31.1107,-72.9461,10,4.6
2016-02-19T05:33:08.350Z,-30.5929,-71.5928,23.62,4.9
2016-02-18T03:52:05.310Z,-30.3878,-71.7109,22.59,4.1
2016-02-18T01:32:31.210Z,-30.5832,-71.4573,50.77,4.6
2016-02-17T15:22:31.220Z,-30.5191,-72.0981,11.26,4.3
2016-02-17T10:54:11.240Z,-31.2139,-71.6783,36.24,4.8
2016-02-16T16:50:52.130Z,-30.2324,-71.3495,46.54,4.3
2016-02-16T15:49:34.870Z,-30.4432,-72.0521,18.17,4.2
2016-02-12T21:43:15.000Z,-31.724,-71.314,55.1,4.3
2016-02-12T03:51:44.690Z,-30.6297,-71.5236,33.2,4
2016-02-10T13:15:01.250Z,-30.596,-71.8238,28.09,4.4
2016-02-10T07:25:39.780Z,-30.5747,-71.6581,29.44,4.4
2016-02-10T01:14:06.380Z,-30.676,-71.6542,33.84,5.1
2016-02-10T01:04:36.970Z,-30.633,-71.5663,29.69,4.8
2016-02-10T00:59:55.990Z,-30.6031,-71.6034,21.41,4.7
2016-02-10T00:52:58.220Z,-30.6644,-71.5828,30.3,4.8
2016-02-10T00:47:09.280Z,-30.5812,-71.6663,28.79,5
2016-02-10T00:33:05.340Z,-30.5723,-71.5838,29,6.3
2016-02-08T23:45:59.230Z,-32.113,-71.9392,23.7,3.9
2016-02-08T12:13:19.430Z,-32.0748,-71.9768,22.43,4.3
2016-02-07T02:49:34.730Z,-31.7876,-72.1566,11.93,4.4
2016-02-05T05:28:08.110Z,-31.0741,-71.6711,23.7,5.1
2016-02-05T05:24:40.500Z,-31.0793,-71.7851,24.66,5
2016-02-04T17:59:58.640Z,-31.0669,-71.7512,26.98,4.6
2016-02-04T17:55:00.740Z,-31.0531,-71.7082,25.27,4.9
2016-02-03T17:20:55.500Z,-30.6222,-72.0518,10,4.4
2016-02-03T16:08:29.580Z,-29.6306,-72.0924,10,4.3
2016-02-01T03:19:44.540Z,-30.6643,-71.2964,44.71,3.7
2016-01-30T10:02:44.530Z,-29.4442,-71.9467,10,4.1
2016-01-30T09:27:15.940Z,-30.1801,-71.6291,23.34,4.3
2016-01-29T20:07:15.100Z,-30.3325,-71.6327,35.78,5.2
2016-01-27T15:09:03.660Z,-32.6601,-71.7625,24.04,4.2
2016-01-27T13:16:35.900Z,-30.6312,-71.6147,28.05,4.5
2016-01-26T09:08:55.020Z,-30.1613,-71.898,14.81,4.5
2016-01-26T01:35:14.310Z,-30.7429,-71.4603,38.41,4.5
2016-01-26T00:19:10.020Z,-32.5866,-71.8378,7.75,4.8
2016-01-25T04:35:57.970Z,-31.6922,-72.1202,15.16,4.5
2016-01-21T13:36:09.800Z,-30.3896,-71.5533,42.32,4.2
2016-01-21T06:07:02.290Z,-30.5467,-71.2939,56.11,4.2
2016-01-20T07:24:50.730Z,-30.5749,-71.6757,29.27,4.5
2016-01-19T21:45:27.990Z,-30.4423,-71.6339,28.45,4
2016-01-16T20:36:40.000Z,-31.251,-71.747,29.2,4.2
2016-01-12T19:01:53.600Z,-30.6525,-71.6078,32.3,4.1
2016-01-11T21:16:34.270Z,-31.2248,-71.7032,29.4,4.1
2016-01-10T23:01:50.840Z,-30.5973,-71.596,33.67,3.9
2016-01-10T13:33:35.760Z,-31.3272,-71.7545,26.22,5
2016-01-08T03:11:28.000Z,-29.644,-72.1303,4.53,4.6
2016-01-08T03:00:54.330Z,-30.5538,-71.6456,27.1,4.2
2016-01-08T01:39:13.600Z,-30.6031,-71.8121,10.31,4.3
2016-01-08T01:12:01.020Z,-30.664,-71.6383,24.03,5.7
2016-01-07T02:09:43.600Z,-30.6311,-71.6563,30.28,4.5
2016-01-06T05:10:23.000Z,-32.201,-71.686,27,4
2016-01-04T15:16:11.150Z,-30.8671,-71.8947,28.5,4.3
2016-01-03T17:02:23.810Z,-29.3798,-72.0044,10,4.1
2016-01-03T11:04:33.550Z,-32.9464,-69.2749,10,4.5
2016-01-02T14:15:44.700Z,-30.4197,-72.2837,10,4.5
2016-01-01T06:03:32.400Z,-31.5182,-71.5358,30.65,4.4
2016-01-01T05:46:17.430Z,-30.9008,-71.7693,7.13,4.4
2015-12-30T21:29:23.040Z,-30.6777,-71.7346,25.62,4.5
2015-12-28T14:36:45.590Z,-29.3156,-71.9115,10,4.5
2015-12-28T02:08:24.560Z,-29.8492,-72.1265,10,4.3
2015-12-27T23:47:10.410Z,-31.7689,-71.7135,37.7,4.4
2015-12-27T16:13:51.380Z,-30.6909,-71.3253,48.92,4
2015-12-27T10:57:28.930Z,-31.6748,-72.0488,35,4.1
2015-12-26T23:50:30.210Z,-31.759,-72.0813,10,4.1
2015-12-26T20:43:07.100Z,-31.6969,-72.1583,10,3.8
2015-12-26T18:53:22.570Z,-31.7507,-72.1352,9.97,4.2
2015-12-26T17:59:37.100Z,-31.7548,-72.0692,10,4.6
2015-12-26T17:58:08.250Z,-31.7499,-72.1791,11.66,5
2015-12-25T20:11:17.600Z,-32.3384,-72.099,8.8,4.4
2015-12-25T15:11:49.920Z,-30.6116,-71.3954,35,4.5
2015-12-25T09:19:42.260Z,-31.7532,-71.9375,35,3.8
2015-12-25T04:02:24.670Z,-32.324,-71.9565,3.12,4.1
2015-12-25T02:39:29.370Z,-31.7819,-72.2358,24.07,4.1
2015-12-23T09:15:38.010Z,-31.0463,-71.4404,44.27,4.6
2015-12-23T01:40:04.700Z,-32.7027,-71.7522,23.36,4.3
2015-12-22T18:46:40.100Z,-30.8031,-71.2966,53.46,4.2
2015-12-21T17:04:52.530Z,-31.5182,-71.5963,42.98,4.5
2015-12-19T19:25:05.560Z,-30.6053,-71.3057,48.34,5.8
2015-12-18T02:34:37.030Z,-30.5744,-71.6532,30.12,4.1
2015-12-17T22:56:17.940Z,-30.5969,-71.6546,32.88,4.1
2015-12-17T22:02:34.460Z,-31.4683,-71.886,28.43,4
2015-12-17T15:44:06.590Z,-30.5243,-72.0978,10,4.4
2015-12-17T06:55:57.000Z,-30.382,-71.682,25.1,4
2015-12-17T04:18:59.300Z,-30.7809,-71.4062,46.58,4.2
2015-12-15T20:37:57.660Z,-30.7846,-71.5554,35.47,4.4
2015-12-15T04:51:03.760Z,-29.3623,-71.997,10.31,4.3
2015-12-15T04:22:57.240Z,-30.6318,-71.8964,19.78,4
2015-12-14T09:12:17.240Z,-30.3784,-72.1819,10,4.5
2015-12-13T17:31:07.690Z,-30.5592,-72.0787,10,4.8
2015-12-13T14:35:42.420Z,-29.6555,-71.9723,10,4.3
2015-12-13T14:25:44.000Z,-30.358,-72.087,13.2,4.1
2015-12-13T12:08:29.000Z,-30.632,-71.606,32.1,4
2015-12-13T01:17:39.890Z,-31.6932,-72.0804,10.42,4.1
2015-12-12T20:49:36.290Z,-30.6938,-71.6559,33.64,4.2
2015-12-12T10:09:01.570Z,-31.6797,-72.0767,10,4.1
2015-12-12T04:42:53.560Z,-31.2028,-72.5979,2.92,4.4
2015-12-11T00:18:36.380Z,-30.4187,-72.0991,11.75,4.1
2015-12-10T00:37:38.110Z,-30.9939,-71.3675,48.96,4.4
2015-12-09T09:14:02.660Z,-30.7062,-71.8553,22.36,4.3
2015-12-09T01:11:42.640Z,-30.8546,-71.6297,28.71,4.4
2015-12-08T13:32:48.840Z,-30.7896,-71.9237,27.29,4.2
2015-12-08T12:56:07.420Z,-30.8096,-71.7519,25,5.6
2015-12-07T17:41:15.660Z,-30.3182,-72.1696,12.58,4.6
2015-12-07T07:51:11.430Z,-31.3985,-71.2624,49.53,5.5
2015-12-06T17:55:29.460Z,-31.4714,-71.8968,35,4.4
2015-12-05T14:55:04.180Z,-30.6856,-71.6306,52.31,4
2015-12-04T08:44:38.670Z,-30.7788,-71.4814,45.13,4.4
2015-12-04T04:56:17.430Z,-30.5429,-72.1165,14.46,4.2
2015-12-03T14:48:15.580Z,-30.4703,-72.348,10,4.4
2015-12-03T13:54:11.590Z,-31.7826,-72.2858,10,4.2
2015-12-03T11:36:10.260Z,-30.8689,-71.9464,40.06,4.2
2015-12-03T08:32:46.130Z,-29.7522,-71.671,34.82,4.5
2015-12-03T03:56:47.080Z,-30.1932,-72.169,10,4.2
2015-12-03T00:25:19.270Z,-31.6172,-71.9843,33.69,4.2
2015-12-02T22:05:32.760Z,-30.4619,-72.1173,6.46,4.2
2015-12-02T09:38:27.990Z,-30.3944,-72.1107,10,4.8
2015-12-01T15:31:33.200Z,-30.4034,-71.7418,23.28,4.1
2015-12-01T14:29:22.540Z,-30.5917,-71.6989,32.48,4.2
2015-12-01T12:08:33.530Z,-30.2953,-71.5711,35.44,4.7
2015-12-01T07:26:14.130Z,-31.6011,-71.4825,40.19,4.7
2015-12-01T03:04:03.790Z,-30.4672,-71.6938,30.91,4.1
2015-11-29T00:47:50.000Z,-30.342,-71.543,17.4,4.3
2015-11-28T06:08:34.740Z,-30.6695,-71.8028,22.15,4.5
2015-11-28T05:44:40.060Z,-30.3688,-72.151,10,5.6
2015-11-27T19:51:29.810Z,-29.6421,-72.9361,10,4.6
2015-11-27T08:31:29.150Z,-30.8156,-72.7218,10,4.2
2015-11-26T05:08:28.540Z,-30.7087,-71.8849,25.13,4
2015-11-25T20:57:58.930Z,-29.4391,-72.1716,10,4.6
2015-11-25T19:55:54.090Z,-29.333,-72.1205,10,4.3
2015-11-25T15:37:23.200Z,-32.9456,-69.0229,29.65,3.6
2015-11-24T23:42:07.020Z,-31.7262,-71.9113,15.42,4.7
2015-11-24T21:19:56.120Z,-31.8698,-72.1952,10,4.6
2015-11-24T11:21:03.130Z,-31.8636,-72.2236,11.06,4.2
2015-11-24T09:14:15.800Z,-31.8014,-72.1266,10.13,5
2015-11-24T04:46:58.770Z,-31.8578,-72.1858,3.45,4.2
2015-11-23T04:37:48.020Z,-31.5274,-71.9238,24.05,4
2015-11-22T12:49:02.310Z,-30.726,-71.4439,53.73,4.3
2015-11-22T07:59:50.010Z,-31.1315,-72.7697,10,4.6
2015-11-22T05:57:37.430Z,-30.3684,-71.9595,10,4.7
2015-11-22T03:01:26.900Z,-30.5744,-71.9313,22.88,4.4
2015-11-21T23:05:30.650Z,-30.5754,-71.7676,27,5.8
2015-11-21T22:16:58.540Z,-30.5832,-71.7921,27.06,4.4
2015-11-21T22:12:35.960Z,-30.5535,-71.8274,22.97,4.1
2015-11-21T19:37:58.380Z,-31.549,-71.7297,30.09,4.3
2015-11-21T19:22:22.430Z,-30.3293,-71.6214,29.57,3.8
2015-11-19T22:52:41.950Z,-29.6939,-72.3326,10,3.9
2015-11-19T20:29:29.860Z,-31.0765,-72.029,24.11,4.1
2015-11-19T14:31:08.840Z,-31.3089,-72.5794,10,4.4
